val_map,val_precision,val_recall,val_f1,
0,0,0,0,
0.0014421,0.0010354,0.14628,0.002056245,2*B3*C3/(B3+C3)
0.046014,0.77928,0.059457,0.110484338,
0.06672,0.79631,0.088241,0.158876516,
0.25865,0.23759,0.39612,0.297025929,
0.3008,0.2846,0.3283,0.304892087,
0.3201,0.29892,0.38407,0.336187073,
0.37007,0.30546,0.46398,0.368390858,
0.41727,0.37282,0.55111,0.444762764,
0.47777,0.47926,0.56641,0.519203299,
0.48712,0.48863,0.55991,0.521847184,
0.59307,0.61139,0.52817,0.566741297,
0.56912,0.57114,0.54446,0.557480969,
0.61909,0.58242,0.60544,0.593706943,
0.63206,0.61004,0.56939,0.589014483,
0.66029,0.62946,0.63086,0.630159222,
0.62187,0.61758,0.60225,0.609818671,
0.68323,0.60975,0.66007,0.633912968,
0.68944,0.66177,0.62888,0.644905927,
0.66765,0.64404,0.63678,0.640389424,
0.6945,0.65358,0.66144,0.65748651,
0.6856,0.65235,0.65937,0.655841215,
0.68608,0.67476,0.65093,0.662630821,
0.71547,0.67491,0.67481,0.674859996,
0.71035,0.68104,0.65094,0.665649901,
0.70818,0.60876,0.68064,0.642696458,
0.66745,0.64024,0.61808,0.628964873,
0.73997,0.65329,0.70766,0.679388958,
0.68643,0.66667,0.66314,0.664900315,
0.73845,0.68358,0.69615,0.689807741,
0.71456,0.69696,0.63725,0.665768897,
0.72094,0.64812,0.63846,0.643253735,
0.6853,0.66618,0.62071,0.642641699,
0.74924,0.66166,0.74665,0.701590472,
0.74781,0.67958,0.72963,0.703716203,
0.69091,0.60442,0.71141,0.653565327,
0.74735,0.68206,0.71789,0.699516488,
0.67259,0.58336,0.69975,0.636276173,
0.74801,0.75263,0.64547,0.69494326,
0.74514,0.75602,0.66568,0.707979734,
0.7491,0.7198,0.69362,0.706467541,
0.75756,0.68948,0.72307,0.70587562,
0.76488,0.70228,0.74586,0.723414257,
0.76143,0.75095,0.66399,0.704797787,
0.73825,0.74072,0.68048,0.709323312,
0.77509,0.71066,0.7124,0.711528936,
0.77714,0.72845,0.72287,0.725649273,
0.78476,0.78329,0.68051,0.728291676,
0.77539,0.75957,0.71276,0.735420881,
0.78109,0.74591,0.70674,0.7257969,
0.77626,0.67475,0.76079,0.715191569,
0.79165,0.68983,0.78119,0.732672972,
0.7695,0.72084,0.72042,0.720629939,
0.77793,0.75893,0.68971,0.722666239,
0.78324,0.7012,0.76467,0.731560922,
0.77835,0.74645,0.7015,0.723277289,
0.77634,0.73868,0.69188,0.714514482,
0.7664,0.73304,0.68217,0.706690734,
0.7816,0.72488,0.71419,0.719495295,
0.78227,0.72268,0.71313,0.71787324,
0.78484,0.76604,0.71008,0.736999273,
0.78327,0.73114,0.72319,0.727143271,
0.77497,0.73221,0.73067,0.731439189,
0.78821,0.70272,0.76709,0.733495465,
0.77447,0.70023,0.74045,0.719778582,
0.78336,0.74868,0.70628,0.726862196,
0.80862,0.69737,0.80575,0.747652719,
0.81012,0.75312,0.76845,0.760707774,
0.7968,0.77448,0.73049,0.75184209,
0.80126,0.75538,0.75231,0.753841874,
0.81587,0.73887,0.78108,0.7593889,
0.79408,0.80905,0.69576,0.748140467,
0.80381,0.75708,0.75135,0.754204117,
0.80983,0.8076,0.70908,0.755140185,
0.80105,0.77719,0.71854,0.746715119,
0.79045,0.74672,0.72871,0.737605079,
0.81471,0.71963,0.78546,0.751105356,
0.8113,0.78379,0.74989,0.766465342,
0.81551,0.75221,0.74881,0.750506149,
0.82086,0.77438,0.74032,0.756967058,
0.78264,0.77535,0.70656,0.73935839,
0.8291,0.82427,0.73093,0.77479896,
0.79506,0.79147,0.72246,0.755392147,
0.80486,0.67421,0.82677,0.742736881,
0.81841,0.7426,0.76771,0.754946264,
0.81504,0.80317,0.74567,0.773352669,
0.80096,0.77625,0.73381,0.754433615,
0.79737,0.74449,0.75166,0.74805782,
0.80942,0.71405,0.79485,0.752286623,
0.81472,0.71537,0.82056,0.764362969,
0.80812,0.80352,0.72368,0.761513035,
0.81897,0.79685,0.75214,0.773849746,
0.81255,0.78179,0.74468,0.76278391,
0.80276,0.73014,0.79768,0.762417137,
0.80167,0.80257,0.73072,0.764961554,
0.79519,0.75474,0.74641,0.750551888,
0.80623,0.82562,0.71213,0.76468707,
0.81357,0.79735,0.74897,0.772403163,
0.80635,0.80643,0.71261,0.756622712,
0.8104,0.7587,0.75233,0.755501573,
0.81192,0.80118,0.74346,0.771241562,
0.81969,0.8254,0.7239,0.771325192,
0.81557,0.76323,0.76937,0.766287701,
0.80908,0.7523,0.74093,0.746571712,
0.81503,0.81072,0.73282,0.769804256,
0.81079,0.80999,0.74331,0.775218782,
0.81264,0.82869,0.72126,0.771251911,
0.80507,0.79732,0.74227,0.768810809,
0.8141,0.78507,0.75915,0.771892464,
0.81172,0.77883,0.76511,0.77190904,
0.81416,0.8244,0.70955,0.762675472,
0.80956,0.76148,0.75507,0.758261453,
0.80758,0.82125,0.73201,0.774066431,
0.8174,0.79926,0.73362,0.765034603,
0.81764,0.78791,0.75865,0.773003209,
0.81937,0.77193,0.76625,0.769079513,
0.81734,0.78965,0.76323,0.776215251,
0.81358,0.82439,0.72895,0.773737997,
0.81091,0.81205,0.73127,0.769545919,
0.8124,0.8239,0.73744,0.778276117,
0.81427,0.78165,0.75196,0.766517607,
0.8119,0.78753,0.74842,0.76747707,
0.81347,0.7794,0.77677,0.778082778,
0.81482,0.79852,0.73682,0.766430245,
0.82476,0.81528,0.74227,0.777063832,
0.83207,0.8509,0.72572,0.783340498,
0.8251,0.84413,0.72917,0.782449974,
0.82297,0.72915,0.80276,0.764186478,
0.81645,0.78682,0.76711,0.776839999,
0.81757,0.79927,0.75812,0.778151359,
0.81834,0.82285,0.73914,0.778751911,
0.81394,0.82412,0.73977,0.779670248,
0.81674,0.83955,0.74011,0.786700113,
