val_map,val_precision,val_recall,val_f1,
0,0,0,0,
0.00422,0.00135,0.14632,0.002675317,2*B3*C3/(B3+C3)
0.06081,0.06265,0.2267,0.098170071,
0.18869,0.16462,0.43887,0.239429914,
0.18813,0.14066,0.52154,0.221563928,
0.37429,0.39837,0.41966,0.408737954,
0.33829,0.37207,0.40757,0.389011774,
0.47699,0.47978,0.49514,0.487339001,
0.48408,0.42088,0.53254,0.470171457,
0.54837,0.51211,0.5923,0.549293746,
0.58538,0.46343,0.58544,0.517338582,
0.59645,0.56968,0.61848,0.593077845,
0.56167,0.50268,0.59015,0.542914455,
0.62535,0.58258,0.59081,0.586666138,
0.59439,0.52777,0.65605,0.584959721,
0.61829,0.46525,0.73099,0.568603453,
0.63636,0.51431,0.62966,0.566169453,
0.694,0.58848,0.67509,0.628816707,
0.69602,0.70623,0.61491,0.657413884,
0.73824,0.65264,0.69483,0.673074504,
0.7587,0.76551,0.6516,0.703976849,
0.74113,0.72998,0.6565,0.691292871,
0.77635,0.69322,0.71253,0.702742375,
0.75107,0.72169,0.70352,0.712489175,
0.7619,0.69067,0.67537,0.682934318,
0.79077,0.65361,0.75013,0.698551682,
0.78216,0.70735,0.716,0.711648716,
0.77354,0.66277,0.71121,0.686136118,
0.75085,0.67246,0.68861,0.680439185,
0.78403,0.70644,0.74042,0.723030984,
0.78615,0.71759,0.70701,0.712260713,
0.77245,0.65039,0.74366,0.693904849,
0.72844,0.62051,0.72559,0.668948594,
0.78526,0.70279,0.74055,0.72117607,
0.79714,0.7777,0.71194,0.743368516,
0.80602,0.7479,0.74492,0.746407026,
0.82161,0.80946,0.74077,0.773593188,
0.78419,0.72511,0.70624,0.715550615,
0.79741,0.73302,0.78147,0.756470019,
0.81333,0.76081,0.7555,0.758145702,
0.79829,0.77209,0.76207,0.767047278,
0.83315,0.78863,0.72883,0.757551702,
0.81988,0.74331,0.7451,0.744203924,
0.84904,0.7822,0.75706,0.7694247,
0.822,0.77169,0.7436,0.757384638,
0.81021,0.77673,0.69428,0.733194342,
0.8432,0.84875,0.72632,0.782776765,
0.82539,0.77993,0.74377,0.761420931,
0.81916,0.78599,0.75085,0.76801826,
0.84587,0.80796,0.77204,0.789591694,
0.84341,0.77267,0.79607,0.784195478,
0.85588,0.79936,0.77657,0.787800213,
0.81004,0.7653,0.74502,0.755023844,
0.83721,0.83803,0.71734,0.773002488,
0.84386,0.75847,0.8022,0.779722342,
0.85405,0.76741,0.79609,0.781486955,
0.86724,0.81955,0.76854,0.793225771,
0.84745,0.79728,0.75063,0.773252045,
0.83517,0.73566,0.79162,0.762614804,
0.85854,0.78412,0.79189,0.787985846,
0.83689,0.74212,0.80626,0.772861534,
0.85526,0.7543,0.8239,0.78756529,
0.85372,0.83635,0.74702,0.789165106,
0.84542,0.77149,0.80038,0.78566951,
0.86487,0.77777,0.804,0.790667518,
0.85154,0.833,0.73055,0.778418535,
0.85785,0.80554,0.76551,0.785015022,
0.85504,0.79973,0.74834,0.773182024,
0.86967,0.76215,0.80427,0.78264371,
0.8688,0.81502,0.7696,0.791659063,
0.86004,0.81111,0.75654,0.782875207,
0.85908,0.7774,0.80349,0.790229714,
0.85304,0.85993,0.73088,0.79017059,
0.87029,0.81651,0.78506,0.800476208,
0.87875,0.80764,0.83064,0.81897855,
0.85631,0.78392,0.77694,0.780414393,
0.85989,0.77418,0.7892,0.781617849,
0.85611,0.75403,0.80418,0.778297977,
0.85188,0.7839,0.77915,0.781517783,
0.87011,0.8146,0.79116,0.802708918,
0.87762,0.84099,0.77239,0.805231584,
0.88549,0.84485,0.78163,0.812011344,
0.8566,0.80641,0.76468,0.784990801,
0.88247,0.80861,0.80937,0.808989822,
0.86703,0.79429,0.79547,0.794879562,
0.87333,0.79888,0.79628,0.797577881,
0.88077,0.81357,0.80119,0.807332543,
0.87364,0.79921,0.80406,0.801627664,
0.88282,0.78009,0.8453,0.8113869,
0.88863,0.79207,0.83369,0.812347257,
0.88119,0.8293,0.794,0.811266186,
0.87369,0.84328,0.75631,0.797430713,
0.88167,0.81373,0.79645,0.804997278,
0.86884,0.84421,0.76666,0.803568306,
0.87188,0.78572,0.82663,0.805655997,
0.88759,0.83529,0.80356,0.819117836,
0.89093,0.82618,0.80169,0.813750784,
0.88305,0.82971,0.79104,0.80991368,
0.88658,0.83579,0.77854,0.806149854,
0.8793,0.78502,0.81818,0.801257065,
0.88404,0.80515,0.81354,0.809323256,
0.86715,0.73969,0.8656,0.797707161,
0.88122,0.77092,0.87463,0.819506863,
0.88753,0.79109,0.83979,0.81471288,
0.89215,0.83485,0.80404,0.819155397,
0.88911,0.7971,0.83402,0.815142162,
0.88626,0.78721,0.84145,0.81342681,
0.87828,0.84527,0.77569,0.808986633,
0.87783,0.77027,0.8515,0.808850706,
0.88495,0.77317,0.85938,0.813998756,
0.89085,0.80703,0.83454,0.820554489,
0.89244,0.84139,0.79473,0.817394659,
0.88557,0.7833,0.83891,0.810151834,
0.8898,0.80977,0.83091,0.820203807,
0.8863,0.80328,0.85346,0.827610064,
0.88848,0.82933,0.81889,0.824076936,
0.88533,0.82916,0.79806,0.813312803,
0.88511,0.8294,0.8107,0.819943394,
0.89035,0.79196,0.84483,0.817541122,
0.88088,0.80005,0.83059,0.815034011,
0.88505,0.81591,0.83312,0.824425194,
